,language,n_models,n_multilingual,mean_n_langs,n_monolingual,n_goldfish,n_english
0,hne,8,6,179.75,2,2,6
0,san,71,61,80.2394366197183,10,6,58
0,jbo,3,3,307.3333333333333,0,0,3
0,myv,8,5,195.375,3,3,5
0,vec,12,8,157.83333333333334,4,4,8
0,bel,99,95,85.72727272727273,4,4,93
0,pls,1,1,468.0,0,0,1
0,bsb,2,0,1.0,2,2,0
0,kha,6,3,184.83333333333334,3,3,3
0,rcf,3,3,368.6666666666667,0,0,3
0,nyu,3,3,368.6666666666667,0,0,3
0,ewe,20,16,92.8,4,3,16
0,arn,3,3,368.6666666666667,0,0,3
0,bcl,5,5,185.2,0,2,3
0,bih,1,1,468.0,0,0,1
0,tet,9,6,173.88888888888889,3,3,6
0,tsg,3,3,368.6666666666667,0,0,3
0,shn,8,3,138.875,5,3,3
0,zai,2,1,234.5,1,0,1
0,chv,25,21,113.96,4,4,20
0,ckb,15,15,142.53333333333333,0,4,11
0,tls,0,0,,0,0,0
0,zea,3,3,307.3333333333333,0,0,3
0,nus,1,1,468.0,0,0,1
0,mai,14,11,138.57142857142858,3,3,9
0,tiv,5,3,221.6,2,2,3
0,lit,207,198,58.20289855072464,9,4,196
0,lmo,10,6,125.6,4,4,6
0,shp,3,3,368.6666666666667,0,0,3
0,vro,4,4,231.0,0,0,3
0,cor,12,10,170.75,2,2,10
0,fuv,4,4,118.5,0,3,1
0,apc,3,3,157.33333333333334,0,2,1
0,lat,83,75,84.27710843373494,8,4,74
0,mfe,3,3,368.6666666666667,0,0,3
0,lez,5,3,184.8,2,2,3
0,roh,31,28,126.29032258064517,3,3,28
0,uzn,9,9,53.77777777777778,0,8,1
0,bgp,4,2,160.0,2,2,2
0,bre,51,47,113.94117647058823,4,4,47
0,kor,4591,3329,8.219342191243738,1262,4,3315
0,ydd,5,5,95.2,0,4,1
0,mlt,135,130,52.355555555555554,5,4,130
0,naq,1,1,468.0,0,0,1
0,nzi,5,3,221.6,2,2,3
0,pes,7,7,96.57142857142857,0,4,3
0,som,76,69,94.64473684210526,7,4,69
0,tur,1156,693,17.325259515570934,463,4,684
0,kaz,104,94,83.82692307692308,10,4,93
0,orm,67,63,92.17910447761194,4,7,59
0,cjk,6,3,184.83333333333334,3,3,3
0,bar,12,9,117.0,3,3,8
0,eng,75577,14002,1.9271074533257473,61575,4,75577
0,ina,12,9,124.08333333333333,3,3,9
0,wln,10,6,174.7,4,4,6
0,lbe,4,1,117.75,3,3,1
0,ndc,1,1,468.0,0,0,1
0,vls,5,3,184.8,2,2,3
0,swc,3,3,182.0,0,0,3
0,tlh,5,3,221.6,2,2,3
0,hak,3,3,307.3333333333333,0,0,3
0,pnb,12,8,116.91666666666667,4,4,8
0,ksd,3,3,368.6666666666667,0,0,3
0,nap,5,3,184.8,2,2,3
0,hye,93,88,90.24731182795699,5,4,88
0,tha,3038,2952,11.887096774193548,86,4,2943
0,kan,252,243,53.32539682539682,9,4,237
0,fij,11,8,155.8181818181818,3,3,8
0,kpg,1,1,468.0,0,0,1
0,ary,17,12,29.88235294117647,5,0,2
0,lad,3,3,307.3333333333333,0,0,3
0,cni,3,3,368.6666666666667,0,0,3
0,mzh,1,1,468.0,0,0,1
0,suz,3,3,368.6666666666667,0,0,3
0,qub,3,3,368.6666666666667,0,0,3
0,lao,191,181,47.86387434554974,10,4,181
0,guc,3,3,368.6666666666667,0,0,3
0,bxr,10,10,116.8,0,3,7
0,tvl,3,3,368.6666666666667,0,0,3
0,sqi,85,72,86.23529411764706,13,8,68
0,bjn,6,6,154.66666666666666,0,3,3
0,otq,6,3,184.83333333333334,3,3,3
0,srd,32,29,116.75,3,3,29
0,umb,11,8,106.45454545454545,3,3,8
0,xal,10,8,135.1,2,2,8
0,stq,5,5,312.0,0,0,5
0,sme,15,12,128.33333333333334,3,3,12
0,zlm,1,1,468.0,0,0,1
0,cha,17,17,99.23529411764706,0,0,16
0,sgs,3,3,307.3333333333333,0,0,3
0,ile,7,7,205.71428571428572,0,0,7
0,gym,10,10,112.4,0,0,10
0,ctp,1,1,468.0,0,0,1
0,kir,92,87,87.34782608695652,5,4,86
0,nhe,5,3,221.6,2,2,3
0,kum,6,3,184.83333333333334,3,3,3
0,toj,3,3,368.6666666666667,0,0,3
0,udm,8,5,195.375,3,3,5
0,tok,1,1,468.0,0,0,1
0,wuu,6,6,154.66666666666666,0,3,3
0,nbl,6,6,240.0,0,0,6
0,yap,3,3,368.6666666666667,0,0,3
0,aka,117,111,49.78632478632478,6,6,103
0,yue,34,14,44.911764705882355,20,3,11
0,als,7,7,132.85714285714286,0,4,3
0,ast,31,26,85.2258064516129,5,4,25
0,ndo,3,3,263.6666666666667,0,0,3
0,cak,5,3,221.6,2,2,3
0,csb,3,3,307.3333333333333,0,0,3
0,tsn,125,120,63.976,5,4,120
0,btk,1,1,9.0,0,0,0
0,eml,1,1,468.0,0,0,1
0,khm,209,197,45.26315789473684,12,4,195
0,pon,5,3,221.6,2,2,3
0,skr,3,3,368.6666666666667,0,0,3
0,hau,109,101,71.26605504587155,8,4,95
0,kal,10,6,154.7,4,4,6
0,gvc,1,1,468.0,0,0,1
0,srn,8,5,195.375,3,3,5
0,twi,111,109,47.6036036036036,2,3,104
0,guj,277,251,50.15523465703971,26,8,244
0,abk,41,18,25.902439024390244,23,3,8
0,gle,181,177,60.84530386740332,4,4,177
0,kom,14,11,143.28571428571428,3,5,8
0,kpv,3,3,157.33333333333334,0,2,1
0,scn,19,14,92.3157894736842,5,4,12
0,nno,113,113,38.796460176991154,0,4,91
0,epo,74,68,92.8108108108108,6,4,68
0,fin,621,544,27.82769726247987,77,4,529
0,ben,521,430,34.45489443378119,91,4,413
0,kri,3,3,368.6666666666667,0,0,3
0,sus,3,3,368.6666666666667,0,0,3
0,bak,36,28,90.83333333333333,8,6,24
0,cbk,5,5,312.0,0,0,5
0,fry,58,54,112.8103448275862,4,4,54
0,mau,1,1,468.0,0,0,1
0,heb,469,422,34.04477611940298,47,4,417
0,cdo,2,2,227.0,0,0,2
0,ibo,159,154,59.874213836477985,5,4,151
0,tpi,13,9,78.15384615384616,4,3,9
0,kur,78,68,82.83333333333333,10,15,61
0,ayr,4,4,118.5,0,3,1
0,tgk,42,36,103.80952380952381,6,4,36
0,fao,55,21,45.236363636363635,34,4,21
0,bpy,7,5,135.71428571428572,2,2,3
0,tab,3,3,368.6666666666667,0,0,3
0,tel,323,273,43.424148606811144,50,7,266
0,yao,1,1,468.0,0,0,1
0,yom,1,1,468.0,0,0,1
0,dzo,10,8,162.8,2,2,7
0,ava,20,14,105.65,6,3,10
0,bho,12,9,161.41666666666666,3,3,9
0,gbm,2,2,319.0,0,0,2
0,tam,380,338,39.23684210526316,42,6,324
0,kjh,5,3,221.6,2,2,3
0,nso,101,98,57.663366336633665,3,3,98
0,wol,150,145,58.82,5,3,144
0,ote,1,1,468.0,0,0,1
0,ixl,1,1,468.0,0,0,1
0,prs,8,8,100.75,0,4,4
0,maz,3,3,368.6666666666667,0,0,3
0,hus,3,3,368.6666666666667,0,0,3
0,din,10,7,111.8,3,6,4
0,hsb,7,3,132.28571428571428,4,3,3
0,nds,12,9,124.33333333333333,3,3,9
0,chr,5,5,312.0,0,0,5
0,kat,98,88,89.16326530612245,10,6,88
0,kin,113,105,54.1858407079646,8,4,104
0,mns,1,1,468.0,0,0,1
0,chk,3,3,368.6666666666667,0,0,3
0,azj,5,5,95.2,0,4,1
0,quc,3,3,368.6666666666667,0,0,3
0,xmf,5,3,184.8,2,2,3
0,cos,13,9,160.15384615384616,4,4,9
0,hrv,237,223,50.59915611814346,14,4,219
0,cym,139,126,71.53237410071942,13,4,126
0,gsw,9,4,126.0,5,4,4
0,fur,9,6,139.44444444444446,3,3,6
0,ext,3,3,307.3333333333333,0,0,3
0,dik,4,4,118.5,0,3,1
0,xav,1,1,468.0,0,0,1
0,iba,6,3,184.83333333333334,3,3,3
0,nob,75,75,35.68,0,4,41
0,mos,5,1,94.4,4,3,1
0,ven,8,5,162.875,3,3,5
0,sna,127,123,54.46456692913386,4,4,122
0,grn,30,27,133.16666666666666,3,3,27
0,jav,172,154,53.80813953488372,18,4,149
0,ssw,30,27,116.3,3,3,27
0,aze,115,91,73.03478260869565,24,19,80
0,iku,9,6,128.77777777777777,3,3,6
0,cat,365,337,43.676712328767124,28,4,322
0,cre,5,5,121.0,0,0,5
0,quy,7,7,159.14285714285714,0,4,3
0,ilo,11,8,172.0909090909091,3,3,8
0,swa,328,273,43.59146341463415,55,4,265
0,frr,3,1,156.66666666666666,2,2,1
0,szl,9,6,139.44444444444446,3,3,6
0,fon,98,95,53.43877551020408,3,3,95
0,krc,10,7,157.5,3,3,5
0,jam,5,5,312.0,0,0,5
0,tzo,5,3,221.6,2,2,3
0,tuk,18,14,118.66666666666667,4,4,14
0,sah,13,8,128.23076923076923,5,4,7
0,pus,84,79,84.85714285714286,5,8,72
